[2025-08-29T20:07:26.846Z] GET /src/contexts/AuthContext.tsx -> 200 (105ms)
[2025-08-29T20:07:26.846Z] GET /src/components/Navbar.tsx -> 200 (104ms)
[2025-08-29T20:07:26.846Z] GET /src/components/Sidebar.tsx -> 200 (104ms)
[2025-08-29T20:07:26.846Z] GET /src/pages/Flows.ts -> 200 (104ms)
[2025-08-29T20:07:26.846Z] GET /src/components/CredentialSetupModal.tsx -> 200 (104ms)
[2025-08-29T20:07:26.846Z] GET /src/pages/Configuration.tsx -> 200 (103ms)
[2025-08-29T20:07:26.846Z] GET /src/pages/Documentation.tsx -> 200 (103ms)
[2025-08-29T20:07:26.846Z] GET /src/pages/Callback.tsx -> 200 (103ms)
[2025-08-29T20:07:26.846Z] GET /src/pages/Login.tsx -> 200 (103ms)
[2025-08-29T20:07:26.848Z] GET /src/pages/Dashboard.tsx -> 200 (106ms)
[2025-08-29T20:07:26.854Z] GET /node_modules/.vite/deps/react-icons_fi.js?v=bcf562e2 -> 200 (2ms)
[2025-08-29T20:07:26.854Z] GET /src/utils/storage.ts -> 200 (2ms)
[2025-08-29T20:07:26.854Z] GET /src/config/pingone.ts -> 200 (2ms)
[2025-08-29T20:07:26.854Z] GET /src/utils/oauth.ts -> 200 (2ms)
[2025-08-29T20:07:26.855Z] GET /src/components/Card.tsx -> 200 (3ms)
[2025-08-29T20:07:26.856Z] GET /@id/__vite-browser-external:crypto -> 200 (1ms)
[2025-08-29T20:07:26.893Z] GET /favicon.ico -> 200 (2ms)
[2025-08-29T20:09:10.051Z] GET / -> 204 (3ms)
[2025-08-29T20:09:10.102Z] GET / -> 200 (49ms)
[2025-08-29T20:09:10.214Z] GET /@react-refresh -> 200 (4ms)
[2025-08-29T20:09:10.223Z] GET /@vite/client -> 200 (14ms)
[2025-08-29T20:09:10.223Z] GET /src/main.tsx -> 200 (13ms)
[2025-08-29T20:09:10.248Z] GET /node_modules/.vite/deps/react.js?v=bcf562e2 -> 200 (5ms)
[2025-08-29T20:09:10.248Z] GET /node_modules/.vite/deps/react_jsx-dev-runtime.js?v=bcf562e2 -> 200 (5ms)
